FOR_NFOR,TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Deforested in 1st half HRP,APSA,136,1.408593273,0.635743299,10.50014792,0.578288516,9.96E-02,0,0.617639313,0,2.78E-04,8.25E-02,0,1.92252348,1.716980472,145.3338832,18.92259423,2.60E-02,8.049057245,6.44E-02,0.178344788,0
Deforested in 1st half HRP,EP,136,0.790805801,0.152670286,28.57827678,9.728852896,0.159317582,0,2.342245392,6.99E-04,0,0.113580533,0,0.577260989,7.400976743,211.9597796,36.75626806,0.244159695,38.4027978,6.03E-04,0,0
Deforested in 1st half HRP,EXPA,136,3.266469263,0.509992433,92.69785049,10.04437084,1.920360589,0,5.563219185,0.684209284,0,0.384097966,0,0.886801999,9.995557265,387.0164857,68.91410573,0.160136091,39.20169137,5.18E-02,7.87E-02,6.126351108
Deforested in 1st half HRP,MPSA,136,3.293735855,0,90.09485298,3.81862377,0.546245455,0,1.454191066,0,0,0.208493066,0,9.76E-04,1.532662588,114.9356151,12.26988514,0.473355844,17.17590782,0,0,1.859434774
Deforested in 2nd half HRP,APSA,136,1.13133292,0.12453181,4.411546718,0.399883745,0.624676424,0,0.575940222,0,0,0.694703839,0,6.05E-02,0.486343724,30.12783113,11.57054302,4.88E-02,13.95768969,1.74E-02,9.87E-03,0
Deforested in 2nd half HRP,EP,136,6.22E-02,4.04E-02,29.22555928,4.652126742,0.880983286,0,2.636510124,0,0,7.68E-02,0,0.406338204,2.126783184,75.648489,32.75572025,0,26.11603251,0,0,0
Deforested in 2nd half HRP,EXPA,136,0.655725753,0.16120691,36.78858843,4.452994044,5.393210585,0,9.813312476,2.03E-02,0,0,0,3.50E-02,3.667949222,123.9499652,60.51486868,3.93E-02,96.9526529,0.101307602,0,0.316906023
Deforested in 2nd half HRP,MPSA,136,1.778133674,0,19.60144119,1.07407876,0.646797416,0,1.634832291,0,0,0.351124814,0,3.95E-02,0.789175423,22.26018337,6.614510438,1.64E-02,18.27396964,0,0,0.633187456
Deforested in 1st half HRP,EXPA,153,0.399114543,7.98E-04,2.19299114,0.813629168,0,0,0,0,0,3.74E-02,0,0,0,3.597182225,0.468928186,0,0.286593457,0,0,0
Deforested in 2nd half HRP,EXPA,153,0.463195436,0,0.884448916,8.40E-02,0,0,0,0,0,0.100173866,0,0,0,0.176839531,0.15309437,0,0.416591059,0,0,9.85E-03
